page,json_path,exact_current_value
https://www.805shutters.com/drapery/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/drapery/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/drapery/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/drapery/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/drapery/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/drapery/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/drapery/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/drapery/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/drapery/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/window-treatments/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/window-treatments/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/window-treatments/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/window-treatments/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/window-treatments/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/window-treatments/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/window-treatments/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/window-treatments/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/window-treatments/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/window-treatments/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/window-coverings/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/window-coverings/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/window-coverings/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/window-coverings/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/window-coverings/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/window-coverings/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/window-coverings/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/window-coverings/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/window-coverings/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/window-coverings/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/about/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/about/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/about/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/about/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/about/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/about/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/about/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/about/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/about/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/about/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/contact/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/contact/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/contact/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/contact/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/contact/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/contact/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/contact/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/contact/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/contact/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/contact/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/free-window-treatment-consultation/,$[1].@graph[1].offers.price,"""0"""
https://www.805shutters.com/financing/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/financing/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/financing/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/financing/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/financing/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/financing/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/financing/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/financing/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/financing/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/financing/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/faq/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/faq/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/faq/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/faq/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/faq/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/faq/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/faq/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/faq/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/faq/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/faq/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/gallery/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/gallery/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/gallery/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/gallery/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/gallery/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/gallery/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/gallery/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/gallery/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/gallery/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/gallery/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/reviews/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/reviews/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/reviews/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/reviews/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/reviews/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
https://www.805shutters.com/reviews/,$[0].@graph[0].description,"""805 Shutters is a family-owned local window treatment company serving Ventura County and nearby communities with more than 30 years of custom shutters, shades, blinds, commercial roller shades, and window covering experience."""
https://www.805shutters.com/reviews/,$[0].@graph[0].founder,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/reviews/,$[0].@graph[0].owner,"{""@type"": ""Person"", ""name"": ""Ken Hill""}"
https://www.805shutters.com/reviews/,$[0].@graph[0].priceRange,"""$$"""
https://www.805shutters.com/reviews/,$[0].@graph[0].openingHoursSpecification,"[{""@type"": ""OpeningHoursSpecification"", ""closes"": ""18:00"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""08:00""}]"
https://www.805shutters.com/recent-projects/,$[0].@graph[0].sameAs,"""https://www.bbb.org/us/ca/camarillo/profile/window-coverings/805-shutters-shades-blinds-1236-3001378"""
https://www.805shutters.com/recent-projects/,$[0].@graph[0].sameAs,"""https://www.mapquest.com/us/california/805-shutters-shades-blinds-378112738"""
https://www.805shutters.com/recent-projects/,$[0].@graph[0].sameAs,"""https://local.yahoo.com/info-225163327-805-shutters"""
https://www.805shutters.com/recent-projects/,$[0].@graph[0].sameAs,"""https://www.chamberofcommerce.com/business-directory/california/santa-rosa-valley/window-treatment-store/2026058550-805-shutters-shades-blinds"""
https://www.805shutters.com/recent-projects/,$[0].@graph[0].sameAs,"""https://www.2findlocal.com/b/15023840/805-shutters-shades-blinds-santa-rosa-valley-ca"""
